"tmean","tnobs","n_reps","alpha","sizeclass","research_strategy","test_strategy","is_hacked","sigmean","mean_nobs","mean_eff","mean_eff_diff","mean_pvalue","size",".groups"
0.5,"100",5,0.005,"L","DefaultResearchStrategy","TTest","1",0.9552,100.8158,0.5331218802,0.0331218802,0.0019786792,"Large","drop"
0.95,"50",3,0.005,"M","DefaultResearchStrategy","TTest","0",0.963007398520296,50,0.958198988202359,0.00819898820235943,0.00103223935212957,"Large","drop"
0.85,"20",2,0.05,"L","DefaultResearchStrategy","TTest","0",0.9364,20,0.9852812926,0.1352812926,0.016375056,"Small","drop"
0.45,"100",4,5e-04,"L","DefaultResearchStrategy","TTest","0",0.364,100,0.452736883,0.00273688299999997,0.024746574,"Large","drop"
0,"10",3,0.05,"M","DefaultResearchStrategy","TTest","1",0.3258,15.9686,0.6214327152,0.6214327152,0.176887968,"Small","drop"
0.05,"20",4,0.05,"L","DefaultResearchStrategy","TTest","1",0.5,25.8304,0.5432470446,0.4932470446,0.1032663294,"Small","drop"
0.4,"5",2,0.005,"S","DefaultResearchStrategy","TTest","0",0.0182,5,0.8319034716,0.4319034716,0.3323654518,"Small","drop"
0.9,"25",1,0.05,"S","DefaultResearchStrategy","TTest","0",0.8748,25,0.9065887346,0.00658873459999998,0.0270345014,"Large","drop"
0.2,"50",5,0.005,"M","DefaultResearchStrategy","TTest","1",0.1778,55.8596,0.3536309688,0.1536309688,0.1698336464,"Large","drop"
0.1,"100",1,5e-04,"L","DefaultResearchStrategy","TTest","1",0.0338,104.7876,0.2073305114,0.1073305114,0.2584652076,"Large","drop"
0.5,"20",4,0.005,"L","DefaultResearchStrategy","TTest","0",0.3286,20,0.845672231,0.345672231,0.0342298462,"Small","drop"
0.15,"50",1,5e-04,"M","DefaultResearchStrategy","TTest","1",0.0298,56.007,0.3033728236,0.1533728236,0.2341862014,"Large","drop"
0.7,"20",1,5e-04,"L","DefaultResearchStrategy","TTest","1",0.4626,27.3326,0.9496361804,0.2496361804,0.0121659394,"Small","drop"
0.95,"5",4,0.05,"S","DefaultResearchStrategy","TTest","0",0.7022,5,1.7875360456,0.8375360456,0.0503015862,"Small","drop"
0.5,"20",1,0.05,"L","DefaultResearchStrategy","TTest","1",0.7732,24.3368,0.6890212824,0.1890212824,0.0594629416,"Small","drop"
0,"25",3,5e-04,"S","DefaultResearchStrategy","TTest","1",0.00379924015196961,30.8008398320336,0.211920346330734,0.211920346330734,0.418097404719056,"Large","drop"
0.35,"5",4,0.005,"S","DefaultResearchStrategy","TTest","0",0.0352,5,1.150060362,0.800060362,0.1963178552,"Small","drop"
0.7,"20",4,0.005,"L","DefaultResearchStrategy","TTest","0",0.6638,20,1.0366230152,0.3366230152,0.0089137116,"Small","drop"
0.05,"50",4,5e-04,"M","DefaultResearchStrategy","TTest","1",0.0094,55.7404,0.199215355,0.149215355,0.3642903308,"Large","drop"
